0x1c08714404a9b450cfdf5e5f11e38bfea2c5ab19.sol,0.6.0,antiYam
0x9858bc1e986185149da3263404ef4946f97ac2b1.sol,0.4.18,FAUTOKEN
0x56aec32fe581550a579725cbb8668bc082846814.sol,0.4.24,FJTX1000X01
0x6990d4ddc6d7926cd40205597fbd2b849b498c69.sol,0.4.18,THECOIN
0x259aabd425d6671195318fbaafc35b7a73b8a618.sol,0.4.17,Usdt2Token
0x606c4b62cc8f864de1664129ac7bc17c04b4e95f.sol,0.5.0,ERC20Token
0x39a9e9583405d1ec12e3f018a2fcf89a4e2628b7.sol,0.5.16,AIY
0x4b8089530256ed39b3a3145f72928389d7c8ae92.sol,0.5.16,StableAMM
0x39299c0849D3D8aF13F2436605f886468Fc71827.sol,0.4.23,MainToken
0x5c20b52556f51bb7bcd5caf521fb90d9b70204d1.sol,0.4.24,BiCoin
